	text
22	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
23	"Translated(src=xh, dest=en, text=@NdinguYaya @ferb_dee Even better I'll push the wheels fast, pronunciation=@NdinguYaya @ferb_dee Even better I'll push the wheels fast, extra_data=""{'translat..."")"
24	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
25	"Translated(src=en, dest=en, text=RT @EFFSouthAfrica: EFF Statement On The Death Of Apartheid President F.W De Klerk https://t.co/SgWBEXLriy, pronunciation=RT @EFFSouthAfrica: EFF Statement On The Death Of Apartheid President F.W De Klerk https://t.co/SgWBEXLriy, extra_data=""{'translat..."")"
26	"Translated(src=en, dest=en, text=I'm happy that old racist is dead.

Come at me with your two cents of "" clever blacks "" 
Otlo nyela msunu wenja, pronunciation=I'm happy that old racist is dead.

Come at me with your two cents of "" clever blacks "" 
Otlo nyela msunu wenja, extra_data=""{'translat..."")"
27	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
28	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
29	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
30	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
31	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
32	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
33	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
34	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
35	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
36	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
37	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
38	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
39	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
40	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
41	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
42	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
43	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
44	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
45	"Translated(src=en, dest=en, text=RT @MaloyiIsaac: Covid deaths are increasing and lockdown will be implemented and we as the EFF supporters will be irritated by those who w…, pronunciation=RT @MaloyiIsaac: Covid deaths are increasing and lockdown will be implemented and we as the EFF supporters will be irritated by those who w…, extra_data=""{'translat..."")"
46	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
47	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
48	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
49	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
